obs_radius,episode,coverage_time,total_reward,final_coverage
2,120,2000,251,0.1012
2,121,2000,266,0.1072
2,122,2000,266,0.1072
2,123,2000,242,0.0976
2,124,2000,323,0.13
2,125,2000,279,0.1124
2,126,2000,318,0.128
2,127,2000,280,0.1128
2,128,2000,292,0.1176
2,129,2000,305,0.1228
2,130,2000,289,0.1164
2,131,2000,272,0.1096
2,132,2000,305,0.1228
2,133,2000,258,0.104
2,134,2000,223,0.09
2,135,2000,267,0.1076
2,136,2000,270,0.1088
2,137,2000,242,0.0976
2,138,2000,268,0.108
2,139,2000,277,0.1116
2,140,2000,241,0.0972
2,141,2000,316,0.1272
2,142,2000,259,0.1044
2,143,2000,294,0.1184
2,144,2000,265,0.1068
2,145,2000,242,0.0976
2,146,2000,292,0.1176
2,147,2000,388,0.156
2,148,2000,210,0.0848
2,149,2000,305,0.1228
2,150,2000,299,0.1204
2,151,2000,251,0.1012
2,152,2000,231,0.0932
2,153,2000,260,0.1048
2,154,2000,312,0.1256
2,155,2000,254,0.1024
2,156,2000,245,0.0988
2,157,2000,270,0.1088
2,158,2000,235,0.0948
2,159,2000,280,0.1128
2,160,2000,296,0.1192
2,161,2000,302,0.1216
2,162,2000,287,0.1156
2,163,2000,340,0.1368
2,164,2000,350,0.1408
2,165,2000,284,0.1144
2,166,2000,278,0.112
2,167,2000,255,0.1028
2,168,2000,275,0.1108
2,169,2000,341,0.1372
2,170,2000,338,0.136
2,171,2000,333,0.134
2,172,2000,289,0.1164
2,173,2000,351,0.1412
2,174,2000,276,0.1112
2,175,2000,310,0.1248
2,176,2000,278,0.112
2,177,2000,271,0.1092
2,178,2000,289,0.1164
2,179,2000,304,0.1224
2,180,2000,314,0.1264
2,181,2000,290,0.1168
2,182,2000,269,0.1084
2,183,2000,273,0.11
2,184,2000,287,0.1156
2,185,2000,241,0.0972
2,186,2000,358,0.144
2,187,2000,260,0.1048
2,188,2000,256,0.1032
2,189,2000,393,0.158
2,190,2000,280,0.1128
2,191,2000,309,0.1244
2,192,2000,195,0.0788
2,193,2000,273,0.11
2,194,2000,222,0.0896
2,195,2000,245,0.0988
2,196,2000,323,0.13
2,197,2000,210,0.0848
2,198,2000,264,0.1064
2,199,2000,317,0.1276
2,200,2000,363,0.146
2,201,2000,228,0.092
2,202,2000,279,0.1124
2,203,2000,318,0.128
2,204,2000,331,0.1332
2,205,2000,232,0.0936
2,206,2000,266,0.1072
2,207,2000,217,0.0876
2,208,2000,275,0.1108
2,209,2000,259,0.1044
2,210,2000,319,0.1284
2,211,2000,384,0.1544
2,212,2000,334,0.1344
2,213,2000,236,0.0952
2,214,2000,308,0.124
2,215,2000,334,0.1344
2,216,2000,264,0.1064
2,217,2000,354,0.1424
2,218,2000,286,0.1152
2,219,2000,299,0.1204
2,220,2000,301,0.1212
2,221,2000,327,0.1316
2,222,2000,308,0.124
2,223,2000,298,0.12
2,224,2000,364,0.1464
2,225,2000,296,0.1192
2,226,2000,341,0.1372
2,227,2000,298,0.12
2,228,2000,329,0.1324
2,229,2000,378,0.152
